,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
4323,1.098,5.4,1326.0,6.5,368.0,1.8,841.0,4.1,-228.0,-1.1
4324,0.734,5.9,699.0,5.6,267.0,2.2,547.0,4.4,35.0,0.3
4325,0.723,5.6,1178.0,9.1,265.0,2.0,538.0,4.2,-455.0,-3.5
4326,0.694,5.7,684.0,5.6,189.0,1.5,529.0,4.3,10.0,0.1
4327,7.423,6.7,5834.0,5.2,2381.0,2.1,5201.0,4.7,1589.0,1.4
4328,1.273,5.7,2165.0,9.7,488.0,2.2,924.0,4.1,-892.0,-4.0
4329,1.633,5.8,2174.0,7.7,590.0,2.1,1197.0,4.2,-541.0,-1.9
4330,1.538,6.2,1487.0,6.0,603.0,2.4,1113.0,4.5,51.0,0.2
4331,0.432,7.7,373.0,6.6,141.0,2.5,282.0,5.0,59.0,1.0
4332,0.743,4.9,1350.0,8.8,306.0,2.0,576.0,3.8,-607.0,-4.0
4333,0.955,6.1,1648.0,10.5,305.0,1.9,647.0,4.1,-693.0,-4.4
4334,0.372,12.9,124.0,4.3,47.0,1.6,155.0,5.4,248.0,8.6
4335,4.701,5.8,4204.0,5.2,1358.0,1.7,3863.0,4.8,497.0,0.6
4336,0.703,7.3,452.0,4.7,229.0,2.4,489.0,5.1,251.0,2.6
4337,26.646,6.1,28430.0,6.5,8830.0,2.0,19819.0,4.6,-1784.0,-0.4
4338,1.224,4.6,1922.0,7.2,490.0,1.8,1086.0,4.1,-698.0,-2.6
4339,0.73,5.8,994.0,7.9,270.0,2.1,603.0,4.8,-264.0,-2.1
4340,0.987,5.9,1333.0,8.0,360.0,2.2,830.0,5.0,-346.0,-2.1
4341,0.973,5.1,1247.0,6.5,370.0,1.9,735.0,3.8,-274.0,-1.4
4342,0.674,5.8,625.0,5.4,182.0,1.6,507.0,4.4,49.0,0.4
4343,0.654,5.4,1040.0,8.6,273.0,2.3,514.0,4.2,-386.0,-3.2
4344,0.61,5.3,619.0,5.4,230.0,2.0,502.0,4.4,-9.0,-0.1
4345,6.418,6.2,5068.0,4.9,2228.0,2.1,5069.0,4.9,1350.0,1.3
4346,1.131,5.4,1988.0,9.5,418.0,2.0,754.0,3.6,-857.0,-4.1
4347,1.454,5.5,1862.0,7.0,592.0,2.2,1115.0,4.2,-408.0,-1.5
4348,1.326,5.7,1329.0,5.7,550.0,2.4,1086.0,4.7,-3.0,0.0
4349,0.352,6.7,343.0,6.5,170.0,3.2,276.0,5.2,9.0,0.2
4350,0.656,4.6,1241.0,8.7,218.0,1.5,537.0,3.8,-585.0,-4.1
4351,0.825,5.6,1513.0,10.3,316.0,2.2,659.0,4.5,-688.0,-4.7
4352,0.307,11.3,105.0,3.9,47.0,1.7,160.0,5.9,202.0,7.5
4353,3.927,5.2,3760.0,5.0,1220.0,1.6,3906.0,5.2,167.0,0.2
4354,0.511,5.7,434.0,4.8,169.0,1.9,454.0,5.0,77.0,0.9
4355,22.759,5.6,25423.0,6.2,8232.0,2.0,19103.0,4.7,-2664.0,-0.7
4356,1.34,4.7,1928.0,6.7,257.0,0.9,1128.0,3.9,-588.0,-2.1
4357,0.724,5.4,985.0,7.3,272.0,2.0,627.0,4.7,-261.0,-1.9
4358,1.106,6.2,1336.0,7.5,353.0,2.0,761.0,4.3,-230.0,-1.3
4359,0.981,4.8,1405.0,6.9,208.0,1.0,753.0,3.7,-424.0,-2.1
4360,0.651,5.3,623.0,5.0,254.0,2.1,548.0,4.4,28.0,0.2
4361,0.72,5.6,985.0,7.6,276.0,2.1,518.0,4.0,-265.0,-2.1
4362,0.662,5.4,682.0,5.6,186.0,1.5,522.0,4.3,-20.0,-0.2
4363,6.84,6.1,5297.0,4.8,2012.0,1.8,5230.0,4.7,1543.0,1.4
4364,1.172,5.2,1969.0,8.8,298.0,1.3,830.0,3.7,-797.0,-3.6
4365,1.484,5.3,1894.0,6.7,614.0,2.2,1062.0,3.8,-410.0,-1.5
4366,1.474,5.9,1286.0,5.2,402.0,1.6,1073.0,4.3,188.0,0.8
4367,0.34,6.0,358.0,6.4,104.0,1.8,296.0,5.3,-18.0,-0.3
4368,0.739,4.8,1208.0,7.9,390.0,2.6,517.0,3.4,-469.0,-3.1
4369,0.91,5.8,1470.0,9.4,287.0,1.8,613.0,3.9,-560.0,-3.6
4370,0.329,11.3,105.0,3.6,44.0,1.5,142.0,4.9,224.0,7.7
4371,4.126,5.1,3864.0,4.8,1069.0,1.3,3974.0,4.9,262.0,0.3
4372,0.592,6.1,455.0,4.7,156.0,1.6,474.0,4.9,137.0,1.4
4373,24.19,5.6,25850.0,5.9,7296.0,1.7,19358.0,4.5,-1660.0,-0.4
4374,1.259,4.6,1876.0,6.8,723.0,2.6,868.0,3.1,-617.0,-2.2
